datetime,se1_unspecified_generation,se2_unspecified_generation,se3_unspecified_generation,se4_unspecified_generation,se1_hydro_generation,se2_hydro_generation,se3_hydro_generation,se4_hydro_generation,se1_wind_generation,se2_wind_generation,se3_wind_generation,se4_wind_generation,se3_nuclear_generation,se1_thermal_generation,se2_thermal_generation,se3_thermal_generation,se4_thermal_generation,se1_solar_generation,se2_solar_generation,se3_solar_generation,se4_solar_generation,se1_energy_storage_generation,se2_energy_storage_generation,se3_energy_storage_generation,se4_energy_storage_generation,se1_wind_onshore,se2_wind_onshore,se3_wind_onshore,se4_wind_onshore,se1_wind_offshore,se2_wind_offshore,se3_wind_offshore,se4_wind_offshore
2018-01-01 00:00:00,0.0,0.01062,11.56062,12.782519,1567.682081,2452.401968,1371.185247,283.274302,248.367512,466.054477,764.836097,437.724342,8534.18,39.14508,139.927789,736.806628,184.84338,0.0,0.006351,0.019905,0.027642,,,,,,,,,,,,
2018-01-01 01:00:00,0.554,0.00833,11.8971,12.719574,1168.017709,2149.582161,1253.252445,283.654948,238.104265,449.537397,656.174814,427.607047,8534.12,39.19808,137.155863,730.904861,183.135737,0.0,0.00535,0.020797,0.026273,,,,,,,,,,,,
2018-01-01 02:00:00,0.771,0.01621,11.62666,12.306289,985.827853,2004.395075,1216.744223,283.61957,228.781771,497.112675,588.884484,386.638395,8533.39,29.93128,140.054101,716.698685,181.988316,0.0,0.006351,0.024614,0.026812,,,,,,,,,,,,
2018-01-01 03:00:00,1.0132,0.0207,11.88815,12.639589,973.166394,1905.183572,1200.08365,283.563376,218.608491,588.583537,536.230328,365.97047,8533.44,30.328,143.886465,667.963665,182.884713,0.0,0.00435,0.023649,0.02751,,,,,,,,,,,,
2018-01-01 04:00:00,0.765,0.00064,11.62433,12.97269,1018.671665,1987.470981,1210.767642,283.555877,187.179221,639.38554,477.091549,360.579635,8533.48,31.11988,139.013502,664.533327,185.321283,0.0,0.00235,0.02019,0.02887,,,,,,,,,,,,
2018-01-01 05:00:00,0.226,0.00766,11.60495,15.652632,1205.330313,1966.835639,1196.064474,283.445947,178.331932,658.080024,444.330346,361.413642,8533.01,31.65776,138.767125,670.486994,187.485837,0.0,0.0025,0.021805,0.02349,,,,,,,,,,,,
2018-01-01 06:00:00,0.488,0.01092,11.65818,19.920902,1393.024672,2086.995396,1197.846564,283.310209,173.550617,691.157244,407.432569,451.553741,8533.71,31.77588,136.581652,662.57295,184.24585,0.0,0.001801,0.021858,0.02931,,,,,,,,,,,,
2018-01-01 07:00:00,0.771,0.00188,11.54327,20.200257,1366.046558,2270.190085,1174.055609,283.272232,166.64519,712.801652,419.465505,618.177897,8531.64,31.61124,139.963761,668.752948,183.005323,0.0,0.0021,0.0239,0.02946,,,,,,,,,,,,
2018-01-01 08:00:00,0.0,0.00429,11.66537,20.093237,1516.388415,2487.602743,1183.461507,283.392787,170.209444,704.057708,393.62663,789.242033,8533.62,32.78424,141.324081,667.3403,181.331993,0.0,0.004251,0.023024,0.030244,,,,,,,,,,,,
2018-01-01 09:00:00,0.053,0.01351,11.62941,20.419392,1692.383012,2699.839523,1204.348475,283.409175,167.185108,661.584652,351.400845,904.226233,8532.07,34.15116,140.698803,669.586452,183.92624,0.0,0.006251,0.0286,0.210045,,,,,,,,,,,,
2018-01-01 10:00:00,0.0,0.00651,11.7047,20.533487,1969.385595,3130.901354,1248.541696,283.221345,124.48137,620.59025,298.575716,1089.193511,8534.54,31.41884,138.457675,671.242346,182.07258,0.0,0.009202,0.072013,0.365184,,,,,,,,,,,,
