datetime,se1_profiled_supply_losses,se2_profiled_supply_losses,se3_profiled_supply_losses,se4_profiled_supply_losses,se1_metered_losses,se2_metered_losses,se3_metered_losses,se4_metered_losses
2018-01-04 03:00:00,-28.894538,-52.06192,-269.629987,-86.494392,,,,
2018-01-04 04:00:00,-29.745622,-52.884007,-273.262498,-86.992229,,,,
2018-01-04 05:00:00,-30.701001,-54.65643,-282.849603,-89.942047,,,,
2018-01-04 06:00:00,-31.787164,-56.675023,-303.25638,-96.203524,,,,
2018-01-04 07:00:00,-32.619902,-57.953364,-316.625011,-102.227945,,,,
2018-01-04 08:00:00,-33.357461,-59.259502,-328.87737,-106.033307,,,,
2018-01-04 09:00:00,-33.895789,-59.459833,-335.993843,-107.533649,,,,
2018-01-04 10:00:00,-34.253222,-59.620319,-344.402183,-110.012387,,,,
2018-01-04 11:00:00,-34.643765,-59.572265,-347.60048,-111.121061,,,,
2018-01-04 12:00:00,-34.880226,-59.183253,-355.261819,-111.590502,,,,
2018-01-04 13:00:00,-34.874647,-58.760452,-352.952696,-110.717374,,,,
2018-01-04 14:00:00,-35.747438,-59.697898,-353.580306,-110.494574,,,,
2018-01-04 15:00:00,-36.834721,-62.615881,-367.81943,-114.758883,,,,
2018-01-04 16:00:00,-37.840276,-65.120741,-388.564052,-124.994691,,,,
2018-01-04 17:00:00,-38.100502,-65.583694,-404.357763,-130.466163,,,,
2018-01-04 18:00:00,-37.327083,-64.07518,-403.581825,-129.260877,,,,
2018-01-04 19:00:00,-36.549599,-62.371907,-392.807223,-125.37109,,,,
2018-01-04 20:00:00,-35.69555,-60.260727,-373.187164,-120.115756,,,,
2018-01-04 21:00:00,-34.494542,-58.201699,-356.267904,-113.600737,,,,
2018-01-04 22:00:00,-33.235973,-55.794485,-333.593319,-106.371482,,,,
2018-01-04 23:00:00,-31.724147,-52.819078,-307.740776,-98.345091,,,,
2018-01-05 00:00:00,-30.667425,-50.563397,-285.954072,-93.115185,,,,
2018-01-05 01:00:00,-29.753125,-49.024728,-271.115472,-89.237247,,,,
2018-01-05 02:00:00,-29.468391,-48.519501,-272.780541,-88.084501,,,,
2018-01-05 03:00:00,-29.569579,-48.82146,-269.367561,-87.982801,,,,
2018-01-05 04:00:00,-29.963698,-49.741614,-274.053397,-88.612166,,,,
2018-01-05 05:00:00,-30.611609,-51.422974,-282.385034,-91.6369,,,,
2018-01-05 06:00:00,-31.169378,-53.445196,-299.336399,-97.392742,,,,
2018-01-05 07:00:00,-31.654158,-55.22163,-317.47681,-103.515578,,,,
2018-01-05 08:00:00,-32.164429,-56.855516,-331.52854,-107.512399,,,,
2018-01-05 09:00:00,-32.425433,-57.396056,-338.834282,-109.783757,,,,
2018-01-05 10:00:00,-32.677578,-58.068883,-348.858769,-112.498355,,,,
2018-01-05 11:00:00,-32.751851,-58.097914,-353.196827,-113.11863,,,,
2018-01-05 12:00:00,-32.673123,-57.87329,-356.909099,-113.065178,,,,
2018-01-05 13:00:00,-32.757116,-57.745645,-358.508988,-112.120174,,,,
2018-01-05 14:00:00,-33.584958,-58.773785,-363.079193,-112.581055,,,,
2018-01-05 15:00:00,-34.427073,-62.352422,-381.404979,-117.452984,,,,
2018-01-05 16:00:00,-35.071049,-65.186346,-404.23788,-128.097675,,,,
2018-01-05 17:00:00,-35.095265,-65.589191,-419.656044,-133.336912,,,,
2018-01-05 18:00:00,-34.300745,-63.966509,-418.059243,-131.283619,,,,
2018-01-05 19:00:00,-33.283944,-61.894315,-401.803228,-125.573155,,,,
2018-01-05 20:00:00,-32.060953,-59.750803,-384.413639,-119.284151,,,,
2018-01-05 21:00:00,-31.07998,-57.774705,-368.503564,-113.979349,,,,
2018-01-05 22:00:00,-29.924289,-55.731243,-352.895004,-108.883991,,,,
2018-01-05 23:00:00,-28.711447,-53.409592,-333.083325,-102.941641,,,,
2018-01-06 00:00:00,-27.766587,-51.567505,-319.242215,-98.039901,,,,
2018-01-06 01:00:00,-27.117797,-50.447563,-308.667214,-94.333756,,,,
2018-01-06 02:00:00,-26.883796,-49.955152,-305.601642,-93.05298,,,,
2018-01-06 03:00:00,-26.806856,-50.018393,-306.290322,-92.785163,,,,
2018-01-06 04:00:00,-26.816876,-50.297906,-309.589587,-93.353083,,,,
2018-01-06 05:00:00,-26.892724,-51.061768,-313.642274,-94.461543,,,,
2018-01-06 06:00:00,-27.445881,-52.483143,-322.981845,-96.867576,,,,
2018-01-06 07:00:00,-28.074365,-54.22152,-336.037844,-101.095514,,,,
2018-01-06 08:00:00,-29.115977,-56.65984,-353.821223,-105.632703,,,,
2018-01-06 09:00:00,-29.831576,-58.288435,-373.211143,-110.763956,,,,
2018-01-06 10:00:00,-30.542518,-59.651831,-392.290699,-115.625104,,,,
2018-01-06 11:00:00,-31.141359,-60.379183,-400.887746,-118.69789,,,,
2018-01-06 12:00:00,-31.243007,-60.133984,-403.740667,-120.212203,,,,
2018-01-06 13:00:00,-31.371372,-60.022767,-400.933273,-120.391943,,,,
2018-01-06 14:00:00,-32.233149,-61.356698,-402.720783,-120.653399,,,,
2018-01-06 15:00:00,-33.342063,-65.737144,-421.562293,-124.464753,,,,
2018-01-06 16:00:00,-34.367812,-68.951471,-450.183934,-134.833752,,,,
2018-01-06 17:00:00,-34.583363,-69.508194,-463.708616,-140.730328,,,,
2018-01-06 18:00:00,-34.014231,-67.999108,-464.947882,-140.269952,,,,
2018-01-06 19:00:00,-33.381041,-66.126321,-454.670567,-136.528005,,,,
2018-01-06 20:00:00,-32.571802,-64.221678,-437.560641,-132.49423,,,,
2018-01-06 21:00:00,-31.714064,-62.338494,-423.787625,-128.929132,,,,
2018-01-06 22:00:00,-30.675839,-60.432235,-407.373705,-124.975836,,,,
2018-01-06 23:00:00,-29.780747,-58.355012,-391.021623,-120.406033,,,,
2018-01-07 00:00:00,-28.806051,-56.469271,-375.539258,-116.53597,,,,
2018-01-07 01:00:00,-28.407747,-55.434702,-366.416582,-114.467107,,,,
2018-01-07 02:00:00,-28.215687,-54.847115,-361.274496,-114.240652,,,,
2018-01-07 03:00:00,-28.181399,-54.769054,-365.938776,-115.176541,,,,
2018-01-07 04:00:00,-28.385269,-55.164655,-368.566057,-116.907486,,,,
2018-01-07 05:00:00,-28.755595,-56.098128,-373.351777,-119.460595,,,,
2018-01-07 06:00:00,-29.231124,-57.294967,-383.971635,-122.952319,,,,
2018-01-07 07:00:00,-29.963662,-58.659393,-397.552452,-128.011395,,,,
2018-01-07 08:00:00,-31.180008,-60.460077,-413.565108,-133.402805,,,,
2018-01-07 09:00:00,-32.29053,-61.707024,-430.067389,-139.129243,,,,
