datetime,se1_metered_consumption_excluding_interruptible_load,se2_metered_consumption_excluding_interruptible_load,se3_metered_consumption_excluding_interruptible_load,se4_metered_consumption_excluding_interruptible_load,se1_interruptible_load,se2_interruptible_load,se3_interruptible_load,se4_interruptible_load,se1_profiled_supply_consumption,se2_profiled_supply_consumption,se3_profiled_supply_consumption,se4_profiled_supply_consumption,se1_metered_consumption_over_50mw,se2_metered_consumption_over_50mw,se3_metered_consumption_over_50mw,se4_metered_consumption_over_50mw,se1_energy_storage_consumption,se2_energy_storage_consumption,se3_energy_storage_consumption,se4_energy_storage_consumption
2018-01-02 00:00:00,-858.2917570000001,-1192.203774,-5337.471834000002,-1107.580791,-6.423753,-4.43055,-34.347698,-1.899,-276.992632,-567.4475,-3633.141816,-1212.142743,,,,,,,,
2018-01-02 01:00:00,-855.5952490000001,-1182.355455,-5323.654691000001,-1093.9205040000002,-3.442,-4.40005,-34.648814,-1.706,-271.20814,-550.981298,-3507.79616,-1168.431269,,,,,,,,
2018-01-02 02:00:00,-855.400469,-1168.8012950000002,-5344.646166000001,-1097.8303529999998,-3.415469,-4.50715,-34.372294,-2.038,-269.731843,-546.227625,-3464.307964,-1156.809304,,,,,,,,
2018-01-02 03:00:00,-850.8737819999999,-1187.4918079999998,-5357.568373,-1109.118309,-3.296692,-4.5793,-33.638574,-2.073,-271.019466,-548.238318,-3452.370094,-1152.47639,,,,,,,,
2018-01-02 04:00:00,-863.614567,-1216.3528059999999,-5348.54451,-1140.9301970000001,-3.307174,-4.50465,-32.500286,-2.014,-276.805126,-559.915999,-3496.162081,-1166.508253,,,,,,,,
2018-01-02 05:00:00,-865.017419,-1245.544612,-5731.657839,-1223.54072,-3.47652,-4.4117,-32.874298,-2.063,-285.06948,-581.776283,-3620.012668,-1204.026678,,,,,,,,
2018-01-02 06:00:00,-926.7510439999999,-1333.3470120000002,-6387.812334000001,-1485.090803,-3.392056,-5.8114,-39.607432,-1.755,-296.513711,-608.963648,-3840.280265,-1283.117951,,,,,,,,
2018-01-02 07:00:00,-956.124513,-1510.646155,-7092.543344999999,-1758.9062210000002,-3.400474,-5.88535,-43.433234,-1.968,-303.740282,-629.157875,-4046.382716,-1361.767805,,,,,,,,
2018-01-02 08:00:00,-980.06649,-1600.4819300000001,-7423.543299999998,-1876.5824659999998,-3.410526,-5.5117,-47.87819,-1.922,-310.555967,-647.904635,-4190.228546,-1401.702378,,,,,,,,
2018-01-02 09:00:00,-998.069123,-1643.2414170000002,-7396.402272999999,-1871.5238080000001,-3.476786,-5.12965,-43.791758,-1.954,-312.310111,-655.406521,-4267.804237,-1426.514006,,,,,,,,
2018-01-02 10:00:00,-999.8055800000001,-1676.320854,-7484.810183,-1946.171636,-3.274556,-6.07205,-44.609886,-2.02,-315.014062,-664.141379,-4353.57067,-1455.42117,,,,,,,,
2018-01-02 11:00:00,-1006.2875200000001,-1683.1511549999998,-7491.151455,-1938.4096860000002,-3.153254,-6.1928,-43.900434,-1.745,-317.828694,-663.767714,-4371.432974,-1462.203513,,,,,,,,
2018-01-02 12:00:00,-1019.493536,-1678.5342620000001,-7517.685562999999,-1932.4188040000001,-3.373089,-6.2956,-50.304134,-1.791,-318.569634,-661.369513,-4358.159364,-1456.829465,,,,,,,,
2018-01-02 13:00:00,-1044.9159119999997,-1656.23377,-7505.340981,-1955.5887779999998,-2.568989,-5.93545,-49.235928,-2.036,-318.388508,-659.224172,-4351.718003,-1439.193985,,,,,,,,
2018-01-02 14:00:00,-1047.385006,-1702.8298760000002,-7475.189030000001,-1927.7965120000001,-2.100716,-6.17985,-59.714878,-2.094,-329.002768,-672.837763,-4391.714599,-1434.683738,,,,,,,,
2018-01-02 15:00:00,-1056.0075769999999,-1704.7223159999996,-7585.80655,-1932.899057,-1.91732,-6.4237,-60.868374,-2.125,-340.729759,-720.582299,-4655.044479,-1500.315672,,,,,,,,
2018-01-02 16:00:00,-1041.8873350000001,-1654.3875779999998,-7448.822726999999,-1872.489458,-1.92168,-6.21505,-45.634582,-1.857,-352.577183,-761.733862,-5000.888528,-1668.02982,,,,,,,,
2018-01-02 17:00:00,-1038.3793689999998,-1606.883198,-7291.4144510000015,-1796.3148570000003,-1.888922,-5.77925,-45.241762,-2.168,-355.296269,-775.486305,-5234.890186,-1757.956622,,,,,,,,
2018-01-02 18:00:00,-1011.563733,-1602.9601429999998,-7036.756259000001,-1724.656174,-1.674088,-6.2383,-42.442002,-1.931,-346.120808,-760.736482,-5234.019069,-1753.688428,,,,,,,,
2018-01-02 19:00:00,-996.2269600000001,-1572.422592,-6873.241173,-1708.0133839999996,-1.697813,-5.38975,-44.168694,-2.101,-338.888897,-743.049555,-5106.728433,-1702.049584,,,,,,,,
