"MTU (UTC)","Area","Production Type","Generation (MW)"
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","CTA|SE","Biomass","n/e"
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 20:00:00 - 06/01/2023 21:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 21:00:00 - 06/01/2023 22:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 22:00:00 - 06/01/2023 23:00:00","CTA|SE","Biomass","n/e"
"06/01/2023 23:00:00 - 07/01/2023 00:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 00:00:00 - 07/01/2023 01:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 01:00:00 - 07/01/2023 02:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 02:00:00 - 07/01/2023 03:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 03:00:00 - 07/01/2023 04:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 04:00:00 - 07/01/2023 05:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 05:00:00 - 07/01/2023 06:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 06:00:00 - 07/01/2023 07:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 07:00:00 - 07/01/2023 08:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 08:00:00 - 07/01/2023 09:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 09:00:00 - 07/01/2023 10:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 10:00:00 - 07/01/2023 11:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 11:00:00 - 07/01/2023 12:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 12:00:00 - 07/01/2023 13:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 13:00:00 - 07/01/2023 14:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 14:00:00 - 07/01/2023 15:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 15:00:00 - 07/01/2023 16:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 16:00:00 - 07/01/2023 17:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 17:00:00 - 07/01/2023 18:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 18:00:00 - 07/01/2023 19:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 19:00:00 - 07/01/2023 20:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 20:00:00 - 07/01/2023 21:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 21:00:00 - 07/01/2023 22:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 22:00:00 - 07/01/2023 23:00:00","CTA|SE","Biomass","n/e"
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","CTA|SE","Biomass","n/e"
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","CTA|SE","Biomass","n/e"
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","CTA|SE","Biomass","n/e"
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 20:00:00 - 11/01/2023 21:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 21:00:00 - 11/01/2023 22:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 22:00:00 - 11/01/2023 23:00:00","CTA|SE","Biomass","n/e"
"11/01/2023 23:00:00 - 12/01/2023 00:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 00:00:00 - 12/01/2023 01:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 01:00:00 - 12/01/2023 02:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 02:00:00 - 12/01/2023 03:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 03:00:00 - 12/01/2023 04:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 04:00:00 - 12/01/2023 05:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 05:00:00 - 12/01/2023 06:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 06:00:00 - 12/01/2023 07:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 07:00:00 - 12/01/2023 08:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 08:00:00 - 12/01/2023 09:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 09:00:00 - 12/01/2023 10:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 10:00:00 - 12/01/2023 11:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 11:00:00 - 12/01/2023 12:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 12:00:00 - 12/01/2023 13:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 13:00:00 - 12/01/2023 14:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 14:00:00 - 12/01/2023 15:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 15:00:00 - 12/01/2023 16:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 16:00:00 - 12/01/2023 17:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 17:00:00 - 12/01/2023 18:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 18:00:00 - 12/01/2023 19:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 19:00:00 - 12/01/2023 20:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 20:00:00 - 12/01/2023 21:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 21:00:00 - 12/01/2023 22:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 22:00:00 - 12/01/2023 23:00:00","CTA|SE","Biomass","n/e"
"12/01/2023 23:00:00 - 13/01/2023 00:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 00:00:00 - 13/01/2023 01:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 01:00:00 - 13/01/2023 02:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 02:00:00 - 13/01/2023 03:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 03:00:00 - 13/01/2023 04:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 04:00:00 - 13/01/2023 05:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 05:00:00 - 13/01/2023 06:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 06:00:00 - 13/01/2023 07:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 07:00:00 - 13/01/2023 08:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 08:00:00 - 13/01/2023 09:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 09:00:00 - 13/01/2023 10:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 10:00:00 - 13/01/2023 11:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 11:00:00 - 13/01/2023 12:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 12:00:00 - 13/01/2023 13:00:00","CTA|SE","Biomass","n/e"
"13/01/2023 13:00:00 - 13/01/2023 14:00:00","CTA|SE","Biomass","n/e"
