"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 00:00 - 01/01/2022 01:00","CTA|SE","15331.00","14904.00"
"01/01/2022 01:00 - 01/01/2022 02:00","CTA|SE","15331.00","14760.00"
"01/01/2022 02:00 - 01/01/2022 03:00","CTA|SE","15270.00","14678.00"
"01/01/2022 03:00 - 01/01/2022 04:00","CTA|SE","15150.00","14730.00"
"01/01/2022 04:00 - 01/01/2022 05:00","CTA|SE","15387.00","14966.00"
"01/01/2022 05:00 - 01/01/2022 06:00","CTA|SE","15737.00","15388.00"
"01/01/2022 06:00 - 01/01/2022 07:00","CTA|SE","16054.00","15860.00"
"01/01/2022 07:00 - 01/01/2022 08:00","CTA|SE","16455.00","16251.00"
"01/01/2022 08:00 - 01/01/2022 09:00","CTA|SE","16943.00","16597.00"
"01/01/2022 09:00 - 01/01/2022 10:00","CTA|SE","17476.00","17086.00"
"01/01/2022 10:00 - 01/01/2022 11:00","CTA|SE","17657.00","17508.00"
"01/01/2022 11:00 - 01/01/2022 12:00","CTA|SE","17521.00","17737.00"
"01/01/2022 12:00 - 01/01/2022 13:00","CTA|SE","17542.00","17918.00"
"01/01/2022 13:00 - 01/01/2022 14:00","CTA|SE","17783.00","18254.00"
"01/01/2022 14:00 - 01/01/2022 15:00","CTA|SE","18417.00","18857.00"
"01/01/2022 15:00 - 01/01/2022 16:00","CTA|SE","18620.00","19407.00"
"01/01/2022 16:00 - 01/01/2022 17:00","CTA|SE","18778.00","19579.00"
"01/01/2022 17:00 - 01/01/2022 18:00","CTA|SE","18621.00","19420.00"
"01/01/2022 18:00 - 01/01/2022 19:00","CTA|SE","17942.00","19086.00"
"01/01/2022 19:00 - 01/01/2022 20:00","CTA|SE","17481.00","18574.00"
"01/01/2022 20:00 - 01/01/2022 21:00","CTA|SE","17048.00","18009.00"
"01/01/2022 21:00 - 01/01/2022 22:00","CTA|SE","16461.00","17364.00"
"01/01/2022 22:00 - 01/01/2022 23:00","CTA|SE","16048.00","16778.00"
"01/01/2022 23:00 - 02/01/2022 00:00","CTA|SE","15924.00","15987.00"
"02/01/2022 00:00 - 02/01/2022 01:00","CTA|SE","15328.00","15601.00"
"02/01/2022 01:00 - 02/01/2022 02:00","CTA|SE","15037.00","15328.00"
"02/01/2022 02:00 - 02/01/2022 03:00","CTA|SE","14770.00","15183.00"
"02/01/2022 03:00 - 02/01/2022 04:00","CTA|SE","14706.00","15193.00"
"02/01/2022 04:00 - 02/01/2022 05:00","CTA|SE","14752.00","15319.00"
"02/01/2022 05:00 - 02/01/2022 06:00","CTA|SE","15202.00","15641.00"
"02/01/2022 06:00 - 02/01/2022 07:00","CTA|SE","15916.00","16083.00"
"02/01/2022 07:00 - 02/01/2022 08:00","CTA|SE","16545.00","16669.00"
"02/01/2022 08:00 - 02/01/2022 09:00","CTA|SE","16960.00","17198.00"
