"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2022 09:00 - 02/01/2022 10:00","CTA|SE","17299.00","17644.00"
"02/01/2022 10:00 - 02/01/2022 11:00","CTA|SE","17428.00","17888.00"
"02/01/2022 11:00 - 02/01/2022 12:00","CTA|SE","17553.00","17946.00"
"02/01/2022 12:00 - 02/01/2022 13:00","CTA|SE","17792.00","17902.00"
"02/01/2022 13:00 - 02/01/2022 14:00","CTA|SE","17912.00","17960.00"
"02/01/2022 14:00 - 02/01/2022 15:00","CTA|SE","18077.00","18352.00"
"02/01/2022 15:00 - 02/01/2022 16:00","CTA|SE","18265.00","18853.00"
"02/01/2022 16:00 - 02/01/2022 17:00","CTA|SE","18541.00","18996.00"
"02/01/2022 17:00 - 02/01/2022 18:00","CTA|SE","18424.00","18802.00"
"02/01/2022 18:00 - 02/01/2022 19:00","CTA|SE","18010.00","18437.00"
"02/01/2022 19:00 - 02/01/2022 20:00","CTA|SE","17305.00","17911.00"
"02/01/2022 20:00 - 02/01/2022 21:00","CTA|SE","16546.00","17297.00"
"02/01/2022 21:00 - 02/01/2022 22:00","CTA|SE","16269.00","16588.00"
"02/01/2022 22:00 - 02/01/2022 23:00","CTA|SE","15506.00","15912.00"
"02/01/2022 23:00 - 03/01/2022 00:00","CTA|SE","15319.00","15217.00"
"03/01/2022 00:00 - 03/01/2022 01:00","CTA|SE","15049.00","14905.00"
"03/01/2022 01:00 - 03/01/2022 02:00","CTA|SE","14808.00","14787.00"
"03/01/2022 02:00 - 03/01/2022 03:00","CTA|SE","14886.00","14784.00"
"03/01/2022 03:00 - 03/01/2022 04:00","CTA|SE","15344.00","14999.00"
"03/01/2022 04:00 - 03/01/2022 05:00","CTA|SE","15734.00","15562.00"
"03/01/2022 05:00 - 03/01/2022 06:00","CTA|SE","17213.00","16794.00"
"03/01/2022 06:00 - 03/01/2022 07:00","CTA|SE","18764.00","17948.00"
"03/01/2022 07:00 - 03/01/2022 08:00","CTA|SE","19396.00","18579.00"
"03/01/2022 08:00 - 03/01/2022 09:00","CTA|SE","19451.00","18743.00"
"03/01/2022 09:00 - 03/01/2022 10:00","CTA|SE","19620.00","19034.00"
"03/01/2022 10:00 - 03/01/2022 11:00","CTA|SE","19916.00","19100.00"
"03/01/2022 11:00 - 03/01/2022 12:00","CTA|SE","20005.00","19037.00"
"03/01/2022 12:00 - 03/01/2022 13:00","CTA|SE","20204.00","18966.00"
"03/01/2022 13:00 - 03/01/2022 14:00","CTA|SE","20225.00","18974.00"
"03/01/2022 14:00 - 03/01/2022 15:00","CTA|SE","20687.00","19330.00"
"03/01/2022 15:00 - 03/01/2022 16:00","CTA|SE","20855.00","19559.00"
"03/01/2022 16:00 - 03/01/2022 17:00","CTA|SE","21041.00","19536.00"
"03/01/2022 17:00 - 03/01/2022 18:00","CTA|SE","20625.00","19127.00"
"03/01/2022 18:00 - 03/01/2022 19:00","CTA|SE","20368.00","18633.00"
"03/01/2022 19:00 - 03/01/2022 20:00","CTA|SE","19675.00","18006.00"
"03/01/2022 20:00 - 03/01/2022 21:00","CTA|SE","18948.00","17351.00"
"03/01/2022 21:00 - 03/01/2022 22:00","CTA|SE","18102.00","16696.00"
"03/01/2022 22:00 - 03/01/2022 23:00","CTA|SE","17269.00","16061.00"
"03/01/2022 23:00 - 04/01/2022 00:00","CTA|SE","17009.00","15069.00"
"04/01/2022 00:00 - 04/01/2022 01:00","CTA|SE","16824.00","14851.00"
"04/01/2022 01:00 - 04/01/2022 02:00","CTA|SE","16796.00","14866.00"
"04/01/2022 02:00 - 04/01/2022 03:00","CTA|SE","16723.00","15016.00"
"04/01/2022 03:00 - 04/01/2022 04:00","CTA|SE","17084.00","15358.00"
"04/01/2022 04:00 - 04/01/2022 05:00","CTA|SE","17985.00","16028.00"
"04/01/2022 05:00 - 04/01/2022 06:00","CTA|SE","19017.00","17368.00"
"04/01/2022 06:00 - 04/01/2022 07:00","CTA|SE","20133.00","18642.00"
"04/01/2022 07:00 - 04/01/2022 08:00","CTA|SE","20800.00","19349.00"
"04/01/2022 08:00 - 04/01/2022 09:00","CTA|SE","20732.00","19534.00"
"04/01/2022 09:00 - 04/01/2022 10:00","CTA|SE","20622.00","19782.00"
"04/01/2022 10:00 - 04/01/2022 11:00","CTA|SE","20849.00","19766.00"
"04/01/2022 11:00 - 04/01/2022 12:00","CTA|SE","20973.00","19668.00"
"04/01/2022 12:00 - 04/01/2022 13:00","CTA|SE","20749.00","19600.00"
"04/01/2022 13:00 - 04/01/2022 14:00","CTA|SE","20770.00","19659.00"
"04/01/2022 14:00 - 04/01/2022 15:00","CTA|SE","21558.00","20106.00"
"04/01/2022 15:00 - 04/01/2022 16:00","CTA|SE","21965.00","20479.00"
"04/01/2022 16:00 - 04/01/2022 17:00","CTA|SE","22098.00","20545.00"
"04/01/2022 17:00 - 04/01/2022 18:00","CTA|SE","21647.00","20179.00"
"04/01/2022 18:00 - 04/01/2022 19:00","CTA|SE","21163.00","19711.00"
"04/01/2022 19:00 - 04/01/2022 20:00","CTA|SE","20499.00","19135.00"
"04/01/2022 20:00 - 04/01/2022 21:00","CTA|SE","19641.00","18454.00"
"04/01/2022 21:00 - 04/01/2022 22:00","CTA|SE","19007.00","17733.00"
"04/01/2022 22:00 - 04/01/2022 23:00","CTA|SE","18021.00","17023.00"
"04/01/2022 23:00 - 05/01/2022 00:00","CTA|SE","17745.00","17211.00"
"05/01/2022 00:00 - 05/01/2022 01:00","CTA|SE","17270.00","16922.00"
"05/01/2022 01:00 - 05/01/2022 02:00","CTA|SE","17050.00","16774.00"
"05/01/2022 02:00 - 05/01/2022 03:00","CTA|SE","17103.00","16810.00"
"05/01/2022 03:00 - 05/01/2022 04:00","CTA|SE","17262.00","17056.00"
"05/01/2022 04:00 - 05/01/2022 05:00","CTA|SE","17810.00","17681.00"
"05/01/2022 05:00 - 05/01/2022 06:00","CTA|SE","19235.00","19126.00"
"05/01/2022 06:00 - 05/01/2022 07:00","CTA|SE","20644.00","20383.00"
"05/01/2022 07:00 - 05/01/2022 08:00","CTA|SE","21248.00","20982.00"
"05/01/2022 08:00 - 05/01/2022 09:00","CTA|SE","21376.00","21136.00"
"05/01/2022 09:00 - 05/01/2022 10:00","CTA|SE","21549.00","21516.00"
"05/01/2022 10:00 - 05/01/2022 11:00","CTA|SE","21489.00","21553.00"
"05/01/2022 11:00 - 05/01/2022 12:00","CTA|SE","21319.00","21439.00"
"05/01/2022 12:00 - 05/01/2022 13:00","CTA|SE","21436.00","21333.00"
"05/01/2022 13:00 - 05/01/2022 14:00","CTA|SE","21327.00","21293.00"
"05/01/2022 14:00 - 05/01/2022 15:00","CTA|SE","22057.00","21588.00"
"05/01/2022 15:00 - 05/01/2022 16:00","CTA|SE","22197.00","21943.00"
"05/01/2022 16:00 - 05/01/2022 17:00","CTA|SE","22071.00","22039.00"
"05/01/2022 17:00 - 05/01/2022 18:00","CTA|SE","21801.00","21680.00"
"05/01/2022 18:00 - 05/01/2022 19:00","CTA|SE","21434.00","21180.00"
"05/01/2022 19:00 - 05/01/2022 20:00","CTA|SE","20792.00","20538.00"
"05/01/2022 20:00 - 05/01/2022 21:00","CTA|SE","19817.00","19860.00"
"05/01/2022 21:00 - 05/01/2022 22:00","CTA|SE","19120.00","19177.00"
"05/01/2022 22:00 - 05/01/2022 23:00","CTA|SE","18579.00","18523.00"
"05/01/2022 23:00 - 06/01/2022 00:00","CTA|SE","18215.00","17855.00"
"06/01/2022 00:00 - 06/01/2022 01:00","CTA|SE","17680.00","17516.00"
"06/01/2022 01:00 - 06/01/2022 02:00","CTA|SE","17514.00","17361.00"
"06/01/2022 02:00 - 06/01/2022 03:00","CTA|SE","17502.00","17360.00"
"06/01/2022 03:00 - 06/01/2022 04:00","CTA|SE","17795.00","17591.00"
"06/01/2022 04:00 - 06/01/2022 05:00","CTA|SE","18109.00","17946.00"
"06/01/2022 05:00 - 06/01/2022 06:00","CTA|SE","18714.00","18646.00"
"06/01/2022 06:00 - 06/01/2022 07:00","CTA|SE","19147.00","19344.00"
"06/01/2022 07:00 - 06/01/2022 08:00","CTA|SE","20168.00","20076.00"
"06/01/2022 08:00 - 06/01/2022 09:00","CTA|SE","20826.00","20672.00"
"06/01/2022 09:00 - 06/01/2022 10:00","CTA|SE","21258.00","21212.00"
"06/01/2022 10:00 - 06/01/2022 11:00","CTA|SE","21169.00","21418.00"
"06/01/2022 11:00 - 06/01/2022 12:00","CTA|SE","21064.00","21333.00"
"06/01/2022 12:00 - 06/01/2022 13:00","CTA|SE","20625.00","21168.00"
"06/01/2022 13:00 - 06/01/2022 14:00","CTA|SE","20709.00","21219.00"
"06/01/2022 14:00 - 06/01/2022 15:00","CTA|SE","21371.00","21787.00"
"06/01/2022 15:00 - 06/01/2022 16:00","CTA|SE","21680.00","22536.00"
"06/01/2022 16:00 - 06/01/2022 17:00","CTA|SE","21954.00","22725.00"
"06/01/2022 17:00 - 06/01/2022 18:00","CTA|SE","21591.00","22445.00"
"06/01/2022 18:00 - 06/01/2022 19:00","CTA|SE","21068.00","22025.00"
"06/01/2022 19:00 - 06/01/2022 20:00","CTA|SE","20458.00","21513.00"
"06/01/2022 20:00 - 06/01/2022 21:00","CTA|SE","20482.00","20854.00"
"06/01/2022 21:00 - 06/01/2022 22:00","CTA|SE","20455.00","20109.00"
"06/01/2022 22:00 - 06/01/2022 23:00","CTA|SE","19167.00","19411.00"
"06/01/2022 23:00 - 07/01/2022 00:00","CTA|SE","18524.00","19947.00"
"07/01/2022 00:00 - 07/01/2022 01:00","CTA|SE","18521.00","19679.00"
"07/01/2022 01:00 - 07/01/2022 02:00","CTA|SE","18153.00","19609.00"
"07/01/2022 02:00 - 07/01/2022 03:00","CTA|SE","18216.00","19671.00"
"07/01/2022 03:00 - 07/01/2022 04:00","CTA|SE","18365.00","19957.00"
"07/01/2022 04:00 - 07/01/2022 05:00","CTA|SE","18495.00","20736.00"
"07/01/2022 05:00 - 07/01/2022 06:00","CTA|SE","20144.00","22385.00"
"07/01/2022 06:00 - 07/01/2022 07:00","CTA|SE","21352.00","23857.00"
"07/01/2022 07:00 - 07/01/2022 08:00","CTA|SE","21863.00","24187.00"
"07/01/2022 08:00 - 07/01/2022 09:00","CTA|SE","21967.00","24047.00"
"07/01/2022 09:00 - 07/01/2022 10:00","CTA|SE","22315.00","23991.00"
"07/01/2022 10:00 - 07/01/2022 11:00","CTA|SE","22456.00","23807.00"
"07/01/2022 11:00 - 07/01/2022 12:00","CTA|SE","22363.00","23590.00"
"07/01/2022 12:00 - 07/01/2022 13:00","CTA|SE","22296.00","23235.00"
"07/01/2022 13:00 - 07/01/2022 14:00","CTA|SE","22321.00","23094.00"
"07/01/2022 14:00 - 07/01/2022 15:00","CTA|SE","22437.00","23182.00"
"07/01/2022 15:00 - 07/01/2022 16:00","CTA|SE","22405.00","23467.00"
"07/01/2022 16:00 - 07/01/2022 17:00","CTA|SE","22335.00","23497.00"
"07/01/2022 17:00 - 07/01/2022 18:00","CTA|SE","21736.00","23015.00"
"07/01/2022 18:00 - 07/01/2022 19:00","CTA|SE","21128.00","22326.00"
"07/01/2022 19:00 - 07/01/2022 20:00","CTA|SE","20408.00","21543.00"
"07/01/2022 20:00 - 07/01/2022 21:00","CTA|SE","19519.00","20769.00"
"07/01/2022 21:00 - 07/01/2022 22:00","CTA|SE","18730.00","20013.00"
"07/01/2022 22:00 - 07/01/2022 23:00","CTA|SE","18221.00","19324.00"
"07/01/2022 23:00 - 08/01/2022 00:00","CTA|SE","17573.00","18236.00"
"08/01/2022 00:00 - 08/01/2022 01:00","CTA|SE","17102.00","17862.00"
"08/01/2022 01:00 - 08/01/2022 02:00","CTA|SE","16679.00","17663.00"
"08/01/2022 02:00 - 08/01/2022 03:00","CTA|SE","16817.00","17565.00"
"08/01/2022 03:00 - 08/01/2022 04:00","CTA|SE","16970.00","17609.00"
"08/01/2022 04:00 - 08/01/2022 05:00","CTA|SE","17050.00","17783.00"
"08/01/2022 05:00 - 08/01/2022 06:00","CTA|SE","17250.00","18216.00"
"08/01/2022 06:00 - 08/01/2022 07:00","CTA|SE","17856.00","18779.00"
"08/01/2022 07:00 - 08/01/2022 08:00","CTA|SE","18681.00","19411.00"
"08/01/2022 08:00 - 08/01/2022 09:00","CTA|SE","18937.00","19970.00"
"08/01/2022 09:00 - 08/01/2022 10:00","CTA|SE","19531.00","20344.00"
"08/01/2022 10:00 - 08/01/2022 11:00","CTA|SE","19969.00","20427.00"
"08/01/2022 11:00 - 08/01/2022 12:00","CTA|SE","20099.00","20358.00"
"08/01/2022 12:00 - 08/01/2022 13:00","CTA|SE","19855.00","20244.00"
"08/01/2022 13:00 - 08/01/2022 14:00","CTA|SE","19961.00","20214.00"
"08/01/2022 14:00 - 08/01/2022 15:00","CTA|SE","20148.00","20545.00"
"08/01/2022 15:00 - 08/01/2022 16:00","CTA|SE","20353.00","21075.00"
"08/01/2022 16:00 - 08/01/2022 17:00","CTA|SE","20381.00","21242.00"
"08/01/2022 17:00 - 08/01/2022 18:00","CTA|SE","20448.00","20946.00"
"08/01/2022 18:00 - 08/01/2022 19:00","CTA|SE","20183.00","20453.00"
"08/01/2022 19:00 - 08/01/2022 20:00","CTA|SE","19451.00","19861.00"
"08/01/2022 20:00 - 08/01/2022 21:00","CTA|SE","18698.00","19287.00"
"08/01/2022 21:00 - 08/01/2022 22:00","CTA|SE","18190.00","18712.00"
"08/01/2022 22:00 - 08/01/2022 23:00","CTA|SE","17739.00","18159.00"
"08/01/2022 23:00 - 09/01/2022 00:00","CTA|SE","17228.00","17262.00"
"09/01/2022 00:00 - 09/01/2022 01:00","CTA|SE","17162.00","16955.00"
"09/01/2022 01:00 - 09/01/2022 02:00","CTA|SE","16909.00","16775.00"
"09/01/2022 02:00 - 09/01/2022 03:00","CTA|SE","16829.00","16708.00"
"09/01/2022 03:00 - 09/01/2022 04:00","CTA|SE","16799.00","16770.00"
"09/01/2022 04:00 - 09/01/2022 05:00","CTA|SE","16990.00","16939.00"
"09/01/2022 05:00 - 09/01/2022 06:00","CTA|SE","17248.00","17333.00"
"09/01/2022 06:00 - 09/01/2022 07:00","CTA|SE","17693.00","17814.00"
"09/01/2022 07:00 - 09/01/2022 08:00","CTA|SE","18239.00","18352.00"
"09/01/2022 08:00 - 09/01/2022 09:00","CTA|SE","18741.00","18893.00"
"09/01/2022 09:00 - 09/01/2022 10:00","CTA|SE","19485.00","19350.00"
"09/01/2022 10:00 - 09/01/2022 11:00","CTA|SE","19911.00","19591.00"
"09/01/2022 11:00 - 09/01/2022 12:00","CTA|SE","19965.00","19648.00"
"09/01/2022 12:00 - 09/01/2022 13:00","CTA|SE","20045.00","19631.00"
"09/01/2022 13:00 - 09/01/2022 14:00","CTA|SE","20295.00","19673.00"
"09/01/2022 14:00 - 09/01/2022 15:00","CTA|SE","20652.00","20022.00"
"09/01/2022 15:00 - 09/01/2022 16:00","CTA|SE","21211.00","20574.00"
"09/01/2022 16:00 - 09/01/2022 17:00","CTA|SE","21351.00","20822.00"
"09/01/2022 17:00 - 09/01/2022 18:00","CTA|SE","21024.00","20613.00"
"09/01/2022 18:00 - 09/01/2022 19:00","CTA|SE","20458.00","20239.00"
"09/01/2022 19:00 - 09/01/2022 20:00","CTA|SE","19936.00","19698.00"
"09/01/2022 20:00 - 09/01/2022 21:00","CTA|SE","19263.00","19060.00"
"09/01/2022 21:00 - 09/01/2022 22:00","CTA|SE","18517.00","18393.00"
"09/01/2022 22:00 - 09/01/2022 23:00","CTA|SE","17979.00","17753.00"
"09/01/2022 23:00 - 10/01/2022 00:00","CTA|SE","17574.00","17296.00"
"10/01/2022 00:00 - 10/01/2022 01:00","CTA|SE","17190.00","17090.00"
"10/01/2022 01:00 - 10/01/2022 02:00","CTA|SE","17050.00","17086.00"
"10/01/2022 02:00 - 10/01/2022 03:00","CTA|SE","17240.00","17190.00"
"10/01/2022 03:00 - 10/01/2022 04:00","CTA|SE","17532.00","17524.00"
"10/01/2022 04:00 - 10/01/2022 05:00","CTA|SE","18234.00","18360.00"
"10/01/2022 05:00 - 10/01/2022 06:00","CTA|SE","20058.00","20248.00"
"10/01/2022 06:00 - 10/01/2022 07:00","CTA|SE","21447.00","21878.00"
"10/01/2022 07:00 - 10/01/2022 08:00","CTA|SE","22120.00","22288.00"
"10/01/2022 08:00 - 10/01/2022 09:00","CTA|SE","21583.00","22250.00"
"10/01/2022 09:00 - 10/01/2022 10:00","CTA|SE","21432.00","22322.00"
"10/01/2022 10:00 - 10/01/2022 11:00","CTA|SE","21723.00","22283.00"
"10/01/2022 11:00 - 10/01/2022 12:00","CTA|SE","22049.00","22172.00"
"10/01/2022 12:00 - 10/01/2022 13:00","CTA|SE","21836.00","22026.00"
"10/01/2022 13:00 - 10/01/2022 14:00","CTA|SE","21785.00","22072.00"
"10/01/2022 14:00 - 10/01/2022 15:00","CTA|SE","22006.00","22447.00"
"10/01/2022 15:00 - 10/01/2022 16:00","CTA|SE","22489.00","22767.00"
"10/01/2022 16:00 - 10/01/2022 17:00","CTA|SE","22962.00","22994.00"
"10/01/2022 17:00 - 10/01/2022 18:00","CTA|SE","22806.00","22576.00"
"10/01/2022 18:00 - 10/01/2022 19:00","CTA|SE","22589.00","22091.00"
"10/01/2022 19:00 - 10/01/2022 20:00","CTA|SE","22008.00","21487.00"
"10/01/2022 20:00 - 10/01/2022 21:00","CTA|SE","21208.00","20703.00"
"10/01/2022 21:00 - 10/01/2022 22:00","CTA|SE","20161.00","19735.00"
"10/01/2022 22:00 - 10/01/2022 23:00","CTA|SE","19151.00","18799.00"
"10/01/2022 23:00 - 11/01/2022 00:00","CTA|SE","18650.00","17835.00"
"11/01/2022 00:00 - 11/01/2022 01:00","CTA|SE","18466.00","17514.00"
"11/01/2022 01:00 - 11/01/2022 02:00","CTA|SE","18208.00","17380.00"
"11/01/2022 02:00 - 11/01/2022 03:00","CTA|SE","18094.00","17407.00"
"11/01/2022 03:00 - 11/01/2022 04:00","CTA|SE","18149.00","17638.00"
"11/01/2022 04:00 - 11/01/2022 05:00","CTA|SE","18884.00","18416.00"
"11/01/2022 05:00 - 11/01/2022 06:00","CTA|SE","20523.00","20175.00"
"11/01/2022 06:00 - 11/01/2022 07:00","CTA|SE","21842.00","21792.00"
"11/01/2022 07:00 - 11/01/2022 08:00","CTA|SE","22032.00","22185.00"
"11/01/2022 08:00 - 11/01/2022 09:00","CTA|SE","21983.00","22118.00"
"11/01/2022 09:00 - 11/01/2022 10:00","CTA|SE","22072.00","22156.00"
"11/01/2022 10:00 - 11/01/2022 11:00","CTA|SE","21603.00","22054.00"
"11/01/2022 11:00 - 11/01/2022 12:00","CTA|SE","21697.00","21823.00"
"11/01/2022 12:00 - 11/01/2022 13:00","CTA|SE","21900.00","21650.00"
"11/01/2022 13:00 - 11/01/2022 14:00","CTA|SE","21940.00","21644.00"
"11/01/2022 14:00 - 11/01/2022 15:00","CTA|SE","22067.00","21976.00"
"11/01/2022 15:00 - 11/01/2022 16:00","CTA|SE","22396.00","22304.00"
"11/01/2022 16:00 - 11/01/2022 17:00","CTA|SE","22506.00","22466.00"
"11/01/2022 17:00 - 11/01/2022 18:00","CTA|SE","22105.00","22036.00"
"11/01/2022 18:00 - 11/01/2022 19:00","CTA|SE","21495.00","21538.00"
"11/01/2022 19:00 - 11/01/2022 20:00","CTA|SE","20866.00","20866.00"
"11/01/2022 20:00 - 11/01/2022 21:00","CTA|SE","20112.00","20051.00"
"11/01/2022 21:00 - 11/01/2022 22:00","CTA|SE","19340.00","19097.00"
"11/01/2022 22:00 - 11/01/2022 23:00","CTA|SE","18126.00","18169.00"
"11/01/2022 23:00 - 12/01/2022 00:00","CTA|SE","17712.00","17614.00"
"12/01/2022 00:00 - 12/01/2022 01:00","CTA|SE","17502.00","17283.00"
"12/01/2022 01:00 - 12/01/2022 02:00","CTA|SE","17075.00","17126.00"
"12/01/2022 02:00 - 12/01/2022 03:00","CTA|SE","16788.00","17119.00"
"12/01/2022 03:00 - 12/01/2022 04:00","CTA|SE","17389.00","17316.00"
"12/01/2022 04:00 - 12/01/2022 05:00","CTA|SE","18200.00","18066.00"
"12/01/2022 05:00 - 12/01/2022 06:00","CTA|SE","19474.00","19781.00"
"12/01/2022 06:00 - 12/01/2022 07:00","CTA|SE","21027.00","21362.00"
"12/01/2022 07:00 - 12/01/2022 08:00","CTA|SE","21411.00","21710.00"
"12/01/2022 08:00 - 12/01/2022 09:00","CTA|SE","21174.00","21636.00"
"12/01/2022 09:00 - 12/01/2022 10:00","CTA|SE","21303.00","21665.00"
"12/01/2022 10:00 - 12/01/2022 11:00","CTA|SE","21203.00","21602.00"
"12/01/2022 11:00 - 12/01/2022 12:00","CTA|SE","20880.00","21420.00"
"12/01/2022 12:00 - 12/01/2022 13:00","CTA|SE","20766.00","21261.00"
"12/01/2022 13:00 - 12/01/2022 14:00","CTA|SE","20727.00","21231.00"
"12/01/2022 14:00 - 12/01/2022 15:00","CTA|SE","21039.00","21453.00"
"12/01/2022 15:00 - 12/01/2022 16:00","CTA|SE","21328.00","21711.00"
"12/01/2022 16:00 - 12/01/2022 17:00","CTA|SE","21117.00","21834.00"
"12/01/2022 17:00 - 12/01/2022 18:00","CTA|SE","20662.00","21347.00"
"12/01/2022 18:00 - 12/01/2022 19:00","CTA|SE","20053.00","20801.00"
"12/01/2022 19:00 - 12/01/2022 20:00","CTA|SE","19460.00","20091.00"
"12/01/2022 20:00 - 12/01/2022 21:00","CTA|SE","18743.00","19238.00"
"12/01/2022 21:00 - 12/01/2022 22:00","CTA|SE","17780.00","18252.00"
"12/01/2022 22:00 - 12/01/2022 23:00","CTA|SE","16589.00","17296.00"
"12/01/2022 23:00 - 13/01/2022 00:00","CTA|SE","15741.00","16843.00"
"13/01/2022 00:00 - 13/01/2022 01:00","CTA|SE","15524.00","16538.00"
"13/01/2022 01:00 - 13/01/2022 02:00","CTA|SE","15415.00","16386.00"
"13/01/2022 02:00 - 13/01/2022 03:00","CTA|SE","15611.00","16386.00"
"13/01/2022 03:00 - 13/01/2022 04:00","CTA|SE","15898.00","16586.00"
"13/01/2022 04:00 - 13/01/2022 05:00","CTA|SE","16492.00","17298.00"
"13/01/2022 05:00 - 13/01/2022 06:00","CTA|SE","17918.00","18933.00"
"13/01/2022 06:00 - 13/01/2022 07:00","CTA|SE","19624.00","20400.00"
"13/01/2022 07:00 - 13/01/2022 08:00","CTA|SE","20184.00","20696.00"
"13/01/2022 08:00 - 13/01/2022 09:00","CTA|SE","20216.00","20594.00"
"13/01/2022 09:00 - 13/01/2022 10:00","CTA|SE","19798.00","20621.00"
"13/01/2022 10:00 - 13/01/2022 11:00","CTA|SE","19552.00","20538.00"
"13/01/2022 11:00 - 13/01/2022 12:00","CTA|SE","19600.00","20368.00"
"13/01/2022 12:00 - 13/01/2022 13:00","CTA|SE","19590.00","20241.00"
"13/01/2022 13:00 - 13/01/2022 14:00","CTA|SE","19307.00","20212.00"
"13/01/2022 14:00 - 13/01/2022 15:00","CTA|SE","19797.00","20467.00"
"13/01/2022 15:00 - 13/01/2022 16:00","CTA|SE","20141.00","20810.00"
"13/01/2022 16:00 - 13/01/2022 17:00","CTA|SE","20215.00","21011.00"
"13/01/2022 17:00 - 13/01/2022 18:00","CTA|SE","19750.00","20602.00"
"13/01/2022 18:00 - 13/01/2022 19:00","CTA|SE","19468.00","20119.00"
"13/01/2022 19:00 - 13/01/2022 20:00","CTA|SE","18756.00","19471.00"
"13/01/2022 20:00 - 13/01/2022 21:00","CTA|SE","17960.00","18693.00"
"13/01/2022 21:00 - 13/01/2022 22:00","CTA|SE","17334.00","17783.00"
"13/01/2022 22:00 - 13/01/2022 23:00","CTA|SE","16465.00","16886.00"
"13/01/2022 23:00 - 14/01/2022 00:00","CTA|SE","15597.00","15994.00"
"14/01/2022 00:00 - 14/01/2022 01:00","CTA|SE","15361.00","15680.00"
"14/01/2022 01:00 - 14/01/2022 02:00","CTA|SE","15101.00","15552.00"
"14/01/2022 02:00 - 14/01/2022 03:00","CTA|SE","15215.00","15574.00"
"14/01/2022 03:00 - 14/01/2022 04:00","CTA|SE","15579.00","15838.00"
"14/01/2022 04:00 - 14/01/2022 05:00","CTA|SE","16256.00","16618.00"
"14/01/2022 05:00 - 14/01/2022 06:00","CTA|SE","17828.00","18318.00"
"14/01/2022 06:00 - 14/01/2022 07:00","CTA|SE","19398.00","19850.00"
"14/01/2022 07:00 - 14/01/2022 08:00","CTA|SE","19769.00","20250.00"
"14/01/2022 08:00 - 14/01/2022 09:00","CTA|SE","19901.00","20276.00"
"14/01/2022 09:00 - 14/01/2022 10:00","CTA|SE","19845.00","20340.00"
"14/01/2022 10:00 - 14/01/2022 11:00","CTA|SE","19493.00","20193.00"
