datetime,t2m,d2m,u10,v10,ssrd,tp,snowc,day,weekday,month,hour_sin,hour_cos,is_weekend,is_holiday,lag_24,lag_48,lag_168,lag_336,total_consumption
2018-03-02 00:00:00,266.69897,263.39282,-2.8993225,-2.5172424,0.0,9.685755e-07,100.0,2,4,3,0.0,1.0,0,0,-13257.240654000001,-13263.320839,-11294.428976,-10540.212149,-12544.564997999998
2018-03-02 01:00:00,266.90857,263.39297,-2.9929962,-2.600937,0.0,3.5203993e-07,100.0,2,4,3,0.25881904510252074,0.9659258262890683,0,0,-13029.870874,-13299.041832,-11038.67921,-10329.114319,-12425.194829
2018-03-02 02:00:00,267.09784,263.54614,-3.0892792,-2.5538177,0.0,4.5262277e-07,100.0,2,4,3,0.49999999999999994,0.8660254037844387,0,0,-12983.858264,-13203.492429999998,-10889.995697,-10207.576585,-12370.363065000001
2018-03-02 03:00:00,267.33673,263.71246,-3.4141388,-2.3315182,0.0,9.0524554e-07,100.0,2,4,3,0.7071067811865476,0.7071067811865476,0,0,-13043.411342,-13309.504605,-10903.626505,-10184.771937999998,-12385.286108
2018-03-02 04:00:00,267.49707,263.83014,-3.5893707,-2.1932201,0.0,1.1771917e-06,100.0,2,4,3,0.8660254037844386,0.5000000000000001,0,0,-13189.221355000001,-13495.387456,-11080.255545,-10304.321211999999,-12585.546602
2018-03-02 05:00:00,267.5832,264.13452,-3.590454,-2.2573032,0.0,1.3932586e-06,100.0,2,4,3,0.9659258262890683,0.25881904510252074,0,0,-13699.333834000001,-14026.491802,-11597.172095000002,-10927.460688,-13055.569576999998
2018-03-02 06:00:00,267.7173,264.48224,-3.666687,-2.1265106,2296.0,1.590699e-06,100.0,2,4,3,1.0,6.123233995736766e-17,0,0,-14700.625767000001,-15175.999141,-12748.54591,-12138.764033,-14178.861348000002
2018-03-02 07:00:00,267.67657,264.67804,-3.524643,-2.3436127,114158.0,1.8253922e-06,100.0,2,4,3,0.9659258262890683,-0.25881904510252063,0,0,-15372.781657,-15917.497272,-13534.048120000001,-13046.392510999998,-14906.124487
2018-03-02 08:00:00,268.2422,264.99173,-3.3928223,-2.079773,343408.0,2.8043987e-06,100.0,2,4,3,0.8660254037844387,-0.4999999999999998,0,0,-15567.442702,-16153.312892,-13754.610872000001,-13171.894404,-15038.876918
2018-03-02 09:00:00,268.94574,265.14227,-4.340805,-2.1242828,677102.0,2.6226044e-06,100.0,2,4,3,0.7071067811865476,-0.7071067811865475,0,0,-15398.338169000002,-16072.244845000001,-13759.888383,-13214.027186,-14881.354013
2018-03-02 10:00:00,269.35043,265.37283,-4.5668945,-1.8959045,788704.0,2.141297e-06,100.0,2,4,3,0.49999999999999994,-0.8660254037844387,0,0,-15234.722902,-15880.957586,-13726.390293,-13248.012697000002,-14759.338747
2018-03-02 11:00:00,269.53668,265.45517,-4.409363,-1.884964,811250.0,7.003546e-07,100.0,2,4,3,0.258819045102521,-0.9659258262890682,0,0,-14931.733041,-15679.601702,-13638.855125,-13180.582263,-14554.570787999997
2018-03-02 12:00:00,269.56006,265.3978,-4.1840363,-2.0112915,743836.0,1.7359853e-06,100.0,2,4,3,1.2246467991473532e-16,-1.0,0,0,-14729.444537,-15475.736276,-13493.989540999999,-13009.818849,-14286.527952999999
2018-03-02 13:00:00,269.5062,265.2744,-3.9399872,-2.3553772,702018.0,1.1250377e-06,100.0,2,4,3,-0.2588190451025208,-0.9659258262890683,0,0,-14566.008983,-15332.899603000002,-13197.494375999999,-12744.419498000001,-14019.998551
2018-03-02 14:00:00,269.30487,265.1917,-3.6606903,-2.557495,552086.0,1.5348196e-06,100.0,2,4,3,-0.4999999999999997,-0.8660254037844388,0,0,-14381.770063,-15155.189491000001,-13101.936729000001,-12499.846682,-13774.4022
2018-03-02 15:00:00,268.99872,265.29968,-3.1690369,-2.4558773,353390.0,1.1026859e-06,100.0,2,4,3,-0.7071067811865471,-0.7071067811865479,0,0,-14353.627349999999,-15044.320970999997,-13065.796374999998,-12467.282610000002,-13675.090396000001
2018-03-02 16:00:00,268.55588,265.39954,-2.9530792,-2.4673615,135680.0,2.5480986e-06,100.0,2,4,3,-0.8660254037844385,-0.5000000000000004,0,0,-14293.898468,-15071.333456,-13046.895706,-12585.236606999999,-13682.204745000001
2018-03-02 17:00:00,267.82953,265.34338,-2.8551178,-2.487976,2994.0,3.695488e-06,100.0,2,4,3,-0.9659258262890683,-0.25881904510252063,0,0,-14703.08352,-15572.397963,-13536.783129,-13037.650761,-14140.413524
2018-03-02 18:00:00,267.41724,265.2434,-2.866623,-2.4634705,0.0,3.7401896e-06,100.0,2,4,3,-1.0,-1.8369701987210297e-16,0,0,-15101.490642999997,-15801.529156,-13674.015409,-12860.603909,-14285.362104
2018-03-02 19:00:00,267.28006,265.08533,-2.730194,-2.303238,0.0,2.9057264e-06,100.0,2,4,3,-0.9659258262890684,0.2588190451025203,0,0,-14867.411717,-15696.912485,-13371.508523,-12470.996884,-13914.943275000001
2018-03-02 20:00:00,267.23022,265.0057,-2.5670166,-2.1518555,0.0,3.2186508e-06,100.0,2,4,3,-0.8660254037844386,0.5000000000000001,0,0,-14574.96759,-15317.747295000001,-12968.917403,-11899.06424,-13414.408733
2018-03-02 21:00:00,267.0949,264.8781,-2.3573914,-2.0606842,0.0,3.7550926e-06,100.0,2,4,3,-0.7071067811865477,0.7071067811865474,0,0,-14012.822965,-14779.919992,-12373.891801,-11411.88509,-12954.727900999998
2018-03-02 22:00:00,267.04373,264.76257,-2.1175385,-2.0543976,0.0,4.1127205e-06,100.0,2,4,3,-0.5000000000000004,0.8660254037844384,0,0,-13391.006539,-14077.89648,-11904.682810999999,-10873.768643,-12531.561054
2018-03-02 23:00:00,266.95367,264.64117,-1.8846588,-2.1775818,0.0,5.275011e-06,100.0,2,4,3,-0.25881904510252157,0.9659258262890681,0,0,-12904.104381,-13039.792695,-11542.059295,-10467.212342,-12115.266421
2018-03-03 00:00:00,266.7508,264.46524,-1.6250916,-2.252945,0.0,5.4240227e-06,100.0,3,5,3,0.0,1.0,1,0,-12544.564997999998,-13257.240654000001,-11353.091825,-10133.688725,-11885.445563000001
2018-03-03 01:00:00,266.57324,264.2599,-1.3716736,-2.3004608,0.0,3.632158e-06,100.0,3,5,3,0.25881904510252074,0.9659258262890683,1,0,-12425.194829,-13029.870874,-11293.586156000001,-9967.388696,-11632.661395
